created,modified,uuid,title,plot,creation_date,certificate,file_path,rating,type,is_removed
"2020-01-01 13:30:00+00","2020-11-24 07:01:28+00","93409985-a89f-4808-90ee-61f3087617ed","Star Tech","Star Tech is weekly TV talk show featuring most interesting geeks, techies, bloggers, startup founders, CEOs and others who thrive on the business of new technologies. Show is hosted by the leading regional tech editor, Dragan Petric.","1991-07-09",,,"8.8","film","false"
"2020-01-01 13:30:00+00","2020-06-02 17:07:36+00","db640b52-d14d-45d2-852b-647ae4d16638","Bring Back... Star Trek",,"2015-06-12",,,"7","film","false"
"2020-01-01 13:30:00+00","2020-02-04 01:52:10+00","2e3332d4-50f6-40ca-bb03-1735475aad11","Death Star Repairmen","Two Imperial Repairmen find themselves in the middle of the infamous battle between their monsterous death ship and a tiny fighter piloted by Rebel scum, Luke Skywalker. When the call to ...","1996-11-30",,,"6.4","film","false"
"2020-01-01 13:30:00+00","2020-05-17 07:01:35+00","5370ccc9-e1e8-48e4-9cb2-e0004887662c","Phantasy Star II","Somewhere in the deep vastness of space, within the Andromeda Galaxy lies the Algol Star System floating like a dust fleck in a sunbeam. Around the parent star, Algol, whirl its three children: Palm, Mota, and Dezo. Closest to Algo is Palm, the economic and intellectual stronghold of the system. Of the three planets the middle gleamed the brightest like an emerald. This is Mota, a beautiful, beckoning jewel gripped by madness!","2015-07-10",,,"8","film","false"
"2020-01-01 13:30:00+00","2020-11-04 15:21:04+00","34b737a6-9925-4ea5-ad4b-a98a28f705e1","Star Trek: Invasion","You're a hotshot pilot who must uncover a plot behind deadly events that are leading the universe toward a doomsday scenario. Strap in, as intergalactic combat goes warp speed!","1995-07-01",,,"7.8","film","false"
"2020-01-01 13:30:00+00","2020-08-05 03:24:54+00","172a6a1c-16ef-4026-ab91-5eb30cb943f0","Greta Garbo: A Lone Star",,"2004-01-24",,,"7.9","film","false"
"2020-01-01 13:30:00+00","2020-07-28 18:38:34+00","619c08d0-b592-4975-89ef-69ce28ae27c2","Star Trek: Strategic Operations Simulator",,"1992-06-28",,,"7.6","film","false"
"2020-01-01 13:30:00+00","2020-08-12 10:06:39+00","a8f2c8f4-b363-45cb-a7a5-2c21514e7764","Phantasy Star Online 2: The Animation","Itsuki Tachibana is a student of Seiga Academy, a co-ed boarding high school with excellent reputation, located in a suburb outside the city center. On a day of second semester, he was summoned by Rina Izumi, the most esteemed and praised chairperson, to the student council room, without knowing what awaits him.","1993-09-12",,,"6.4","film","false"
"2020-01-01 13:30:00+00","2020-07-23 02:27:59+00","ecad457b-054d-471e-94d7-84d6366e5005","Star Trek: Secrets of the Universe",,"2011-12-18",,,"7.7","film","false"
"2020-01-01 13:30:00+00","2020-02-12 20:05:16+00","5a00f7f7-dcd1-4084-b619-5e22b7db1ae6","Shaquille O'Neal Presents: All Star Comedy Jam - Live from Atlanta","Shaquille O'Neal presents today's most hilarious stand-up comedians LIVE from Atlanta.","1994-01-23",,,"5.5","film","false"
"2020-01-01 13:30:00+00","2020-07-19 09:46:31+00","64454226-9e8b-4bb4-b2b2-9796a276182e","Five Star","Prabhu(Prasanna), Ilango(Krishna), Sundar(Karthik), Priya and Indra are the best of friends at college, swearing to never lose touch with one another later in life. They manage to get jobs in the same company but Ilango, was whisked away to his village by his dictatorial father(Vijayan) and forced into marriage with Eeswari(Kanika). He then runs away while the friends assume that he is in Bombay with his new wife. A few years later the remaining four are still friends, working in the same company and even living in one house. Prabhu meets Eeswari on the train and without knowing that she is Ilango's wife, falls in love with her. When the truth comes out she becomes good friends with the gang while they promise to find Ilango and reunite them.","1996-04-07",,,"5.7","film","false"
"2020-01-01 13:30:00+00","2020-03-10 08:35:52+00","7f6d00e3-a223-4d83-bba2-e5990e797314","Monopoly Star Wars",,"2000-01-19",,,"6.2","film","false"
"2020-01-01 13:30:00+00","2020-08-09 11:39:53+00","7ca2adaf-8076-47aa-addf-a66949cae9a0","The Star Maker","A penniless song writer, Larry Earl, is convinced he is going places in shown business, and convinces Mary, an assistant at an orphanage, to marry him. Fifteen months later they are still in love, but broke as Larry writes songs that won't sell and loses one job after another one. He stops to watch a group of newsboys singing and dancing, and decides to organize them into the greatest kid act to ever hit vaudeville. Mary persuades Proctor, a big theatrical manager, to book the act, and they are a big hit. Then Larry and his publicity agent, 'Speed' King, launch a big publicity stunt---a talent train in which they travel across country holding auditions for young performers. Back in New York, Carlotta Salvini, an ex-OPera singer, brings in her talented fourteen-year-old-daughter, Jane, who has an amazing voice. Larry, to get the mother out of the way, offers Carlotta a forty-week vaudeville tour, and then goes to work to make a star out of Jane, by building Braodway's first all-kiddie musical revue around her. Opening night has 'School Days' as the first act and the show and Jane are a big hit...until the Gerry Society, organized to protect working children, reminds Larry there is a law against children working after 10 p m., and the show closes. Larry's future appears dim at best.","2005-11-13",,,"6","film","false"
"2020-01-01 13:30:00+00","2020-09-14 00:16:40+00","35d6f30b-8d4c-4ebb-8f68-67dc9c26e3e8","Star Trek: The Next Generation Interactive Technical Manual",,"2010-03-08",,,"7.6","film","false"
"2020-01-01 13:30:00+00","2020-03-02 07:19:03+00","8fa11d4d-db11-49a6-a792-f2b5d2a875fe","The Car That Became a Star","At a 1965 international auto show in New York City, the key attraction is not a new car but a 35 year old late 1930s-vintage brilliant yellow colored Phantom II Rolls-Royce limousine. Its claim to fame is that it is the star of the MGM feature film The Yellow Rolls-Royce (1964). For filming, the automobile traveled from London to northern Italy (Pisa and Florence) to Austria to Yugoslavia, along the way encountering its several co-stars including Rex Harrison and Jeanne Moreau in London, Shirley MacLaine, George C. Scott, Art Carney and Alain Delon in Italy, and Ingrid Bergman and Omar Sharif in Austria and Yugoslavia. The limo also encountered many fans interested both in the filming and the vehicle itself. During filming, the limo was well taken care of by a large maintenance crew. In its post filming life, the limousine has even inspired a fashionable clothing line by designer Joan Leslie in, of course, the famous yellow motif.","1986-08-23",,,"5.4","film","false"
"2020-01-01 13:30:00+00","2020-02-20 22:11:09+00","ca4d79cd-0226-4912-93cc-2f6d42f790f5","Star Academy",,"2018-02-17",,,"3.1","film","false"
"2020-01-01 13:30:00+00","2020-04-03 01:53:29+00","d9f0654b-795b-4610-abf3-901a09a94e46","Star Wars Cantina Karaoke",,"1996-07-16",,,"6.7","film","false"
"2020-01-01 13:30:00+00","2020-06-18 18:20:10+00","78fa629a-82a6-4502-aa63-3f3f85808538","Star Wars: The Lesser Evil","A Jedi Master and his Padawan, with the help of a bounty hunter, go after a Sith Lord.","2018-09-11",,,"6.5","film","false"
"2020-01-01 13:30:00+00","2020-03-26 10:57:58+00","1034226f-4598-4736-a8d1-5f44a15d7c1f","All-Star Academy","Together, Alex Guarnaschelli, Bobby Flay, Michael Symon and Curtis Stone make up one of the fiercest foursomes in culinary competitions. In this series, they will battle it out in the kitchen, as mentor versus mentor with teams of shining home cooks.","2018-07-24",,,"7","film","false"
"2020-01-01 13:30:00+00","2020-07-26 06:55:46+00","58bee4fb-142d-4408-b9db-38a34cf93a27","Star Wars Begins: A Filmumentary","Filmmaker Jamie Benning has finally finished his trilogy of documentary-commentaries. This final chapter concentrates on the first Star Wars film. Like his two previous documentaries, Building Empire (2006) and Returning to Jedi (2007), Star Wars Begins is an unofficial look at the creation of the classic movie and features deleted scenes, alternate takes and different angles, bloopers, original on set audio recordings and a huge amount of commentary from cast and crew, culled from every corner of the galaxy.","1990-06-12",,,"8.2","film","false"
"2020-01-01 13:30:00+00","2020-06-13 10:16:00+00","ebb16f0f-4fe5-4f42-90dd-26237a196ec6","Star Trek: Captain Pike","Tells a pre-Kirk story about what happened on Rigel VII prior to The Cage episode of the original Star Trek series. This is the story of Captain Pike when he first takes command of the Enterprise and his first mission aboard her.","1987-01-13",,,"2.8","film","false"
"2020-01-01 13:30:00+00","2020-11-28 19:30:52+00","ca3e24b1-f0d2-43e2-8c49-5cb8da08b728","Star Wars: The Apprentice","A robed figure approaches. A Jedi knight appears behind her, then attacks. The duel commences.","1985-03-26",,,"4.5","film","false"
"2020-01-01 13:30:00+00","2020-03-24 02:38:37+00","a2079b53-5560-4243-ab91-60a8e8c7269d","I've Never Seen Star Wars",,"2020-02-04",,,"6.3","film","false"
"2020-01-01 13:30:00+00","2020-07-16 22:21:25+00","41f03343-f209-48c9-bbb2-c32c46d0321d","Star Trek: The Gag Reel","A look at the out-takes of the film.","2012-05-13",,,"7.3","film","false"
"2020-01-01 13:30:00+00","2020-12-14 22:29:28+00","6b7d912d-a330-4bb7-8cb0-90e9bf3ec284","Star Trek: Away Team",,"2013-06-29",,,"7.2","film","false"
"2020-01-01 13:30:00+00","2020-01-25 05:46:40+00","72acca8c-2062-4bd6-b8d4-967cc25b5810","Star Wars: Return of the Jedi - Death Star Battle",,"2015-07-17",,,"6.8","film","false"
"2020-01-01 13:30:00+00","2020-01-13 16:40:29+00","411db272-cd88-4714-8c79-ea1132a0da70","An All-Star Toast to the Improv","To celebrate the 'birthday' of the famous Improv comedy club, 6 famous comedians get up on stage and do their thing. However, to make things interesting, while each one does his particular routine, the other 5 comics sit at the back of the stage and heckle the performer. This video is especially notable for Martin Mull issuing a zinger at Robin Williams that shuts-up the otherwise motor-mouthed comic for at least 5 seconds.","2009-05-29",,,"7.2","film","false"
"2020-01-01 13:30:00+00","2020-08-20 06:49:36+00","4923cc49-2776-4b74-bdfd-2e9c2b94396e","Sesame Street: All-Star Alphabet","Get to know your ABCs with the fun-filled adventure that celebrates the wonder of words and the joys of the alphabet Sesame Street style. Shapes, sounds, and colors come to life as letters....","2008-11-30",,,"8.4","film","false"
"2020-01-01 13:30:00+00","2020-01-03 07:07:29+00","27f2214f-81ce-426c-a3de-1e38482750be","An All-Star Tribute to John Wayne",,"1985-06-19",,,"5.9","film","false"
"2020-01-01 13:30:00+00","2020-12-06 13:26:29+00","7beebe01-994e-4669-8655-65f02d907620","Star Fox 64 3D","It's war! The evil mad scientist Andross has unleashed a huge army against his former home world in the bid for galactic conquest. General Pepper has summoned the Star Fox team as backup ...","2016-06-13",,,"8.3","film","false"
"2020-01-01 13:30:00+00","2020-10-14 00:10:48+00","b1dbbc3d-4878-4987-aab0-f101512c260d","Our Star Trek: The Fifty Year Mission","An exploration of Gene Roddenberry's Star Trek vision of humanity. After 50 years of Star Trek, how far has humanity come? How much further can we go?","2008-08-17",,,"8.4","film","false"
"2020-01-01 13:30:00+00","2020-11-04 20:58:19+00","02b78e87-de00-4e99-be07-2bc52e92445c","Laura's Star and the Dream Monster","Laura and his stern are together again in order to help Tommy. He must save her beloved play dog who was kidnapped by a group of dream monsters.","1992-10-11",,,"5.7","film","false"
"2020-01-01 13:30:00+00","2020-10-08 18:11:00+00","f5cd096c-cfb5-46c0-b814-bf392b7f6675","Star Quality: Mr. and Mrs. Edgehill",,"1984-11-04",,,"7.9","film","false"
"2020-01-01 13:30:00+00","2020-02-26 08:42:29+00","0ece8279-00d4-4859-a0e9-f6d46e169807","The All-Star Bond Rally","Inspirational documentary short film featuring Hollywood stars promoting the sales of War Bonds through songs and skits.","1988-05-24",,,"7.3","film","false"
"2020-01-01 13:30:00+00","2020-08-18 23:01:14+00","32f484af-489c-4291-b71a-4f69784d6e65","I Wanna Be a Soap Star","12 Contestants try to win a recurring role on General Hospital. Emmy winning soap actress Debbi Morgan and General Hospital Casting Director Mark Teschner judge their performances.","1994-03-20",,,"6.8","film","false"
"2020-01-01 13:30:00+00","2020-12-20 19:17:32+00","ba784629-1c42-46e4-a4da-5dc14c1ca8ad","1999 MLB All-Star Game",,"1981-05-18",,,"7.5","film","false"
"2020-01-01 13:30:00+00","2020-04-24 12:40:59+00","1cc2bb4e-1720-42f8-899f-7844f3fa287a","The Lone Star Kid",,"1994-04-03",,,"6.3","film","false"
"2020-01-01 13:30:00+00","2020-01-18 12:57:11+00","ca58272d-5653-4f77-bda2-e91f2bbd6560","The Star Inspector",,"1983-09-08",,,"5.8","film","false"
"2020-01-01 13:30:00+00","2020-08-28 22:12:38+00","c8cf30a4-ecb4-443c-86d3-ac9e9990be2f","Rail of the Star","A young Japanese actress remembers her war childhood in Korea. Her father goes to fight, her baby sister Miko dies of typhoid, her beloved Korean maid Ohana is fired due to a mistake which could cost Chiko her life... By and by Chiko realizes that the country is being ruled by the Japanese and the Koreans are persecuted. When the war ends, the Koreans chase the Japanese rule and the roles change. Now Chiko's family is unwanted. But then the Russians come and this is the end. They have to burn all the pictures to avoid all suspicions... even Miko's picture. But when the Russians come to their house, they decide to flee over the 38th Parallel towards freedom. A group of men, women, children struggles along the mountains, led by the light of the Northern Star. Along the way they meet a Korean man, who is willing to help them to escape the Russian soldiers although his family was killed by the Japanese.","2011-11-18",,,"7.6","film","false"
"2020-01-01 13:30:00+00","2020-06-01 08:04:45+00","a455e1a1-9490-4799-ad66-bee3f8fe23cd","Potato Star 2013QR3",,"1994-12-06",,,"7.6","film","false"
"2020-01-01 13:30:00+00","2020-07-30 07:32:32+00","dcaeeb99-5724-4c31-9e78-90237f9bc4db","Chris Hardwick's All-Star Celebrity Bowling","Teams battle for bowling glory and a chance to win for their favorite charity.","2006-05-29",,,"6.9","film","false"
"2020-01-01 13:30:00+00","2020-07-19 04:25:54+00","fc2bd2d5-d1ff-4c6a-b71c-ea88f19d3771","Top Star Yoo Baek","Yoo Baek is a former idol group member. He is now a popular singer and actor. He doesn't try to be a good guy to attract people. Yoo Baek is self-centered and he is brutally honest to ...","2020-09-29",,,"7.2","film","false"
"2020-01-01 13:30:00+00","2020-06-02 13:15:56+00","bed43fea-314a-4764-a8b7-273e603ecb54","Star Trek Secret Voyage: Whose Birth These Triumphs Are","Secret Voyage takes place after the completion of the U.S.S. Enterprise's 5 year mission under legendary Captain James T. Kirk and before the events portrayed in 'Star Trek: The Motion Picture'. The story begins with Captain Calvin Mercer being called into the office of Admiral Hernadez office and asked to take on a secret mission before he finds out what it is. Bored with his ground assignments Mercer accepts. The mission that he chose to accept involves taking the refurbished Enterprise to the edge of known space and brokering a treaty with an alien race that has developed a new fuel that promises to revolutionize space travel. What seems like a straight forward mission involving first contact with a strange new world and new civilization quickly turns into something much more complicated with sinister overtones and hints of betrayal from within Star Fleet, or...someone else.","1986-03-22",,,"5.9","film","false"
"2020-01-01 13:30:00+00","2020-02-12 08:37:39+00","b5e00866-8803-4603-a763-646cd6e1bb8a","Star Trek: Starfleet Command","Command over 50 unique campaign missions generated by the Dynaverse engine, or reenact classic scenarios from the original series. Dozens of multifunctional display panels offer instant access to every crtical system. Weapons, Shields, Sensors, Transporters, Marines, Mines, Engineering, Science, and Energy Management.","2017-10-25",,,"7.7","film","false"
"2020-01-01 13:30:00+00","2020-04-24 00:41:24+00","c66d5853-81c8-4573-be3b-eb7fc69690a1","7 Star Grand Mantis","A village is being oppressed by a four villains lead by chow chung until a beggar comes to town and teaches a young man and woman the 7 star grand mantis style of fighting. They stomp out the gangs businesses and then have to fight them to a finish.","2006-07-22",,,"4.9","film","false"
"2020-01-01 13:30:00+00","2020-03-13 20:31:14+00","4192b72c-cba5-4e24-bd0b-9b84f9c3e91c","Star Trek: Deep Space Nine Companion",,"2003-06-17",,,"7.1","film","false"
"2020-01-01 13:30:00+00","2020-10-05 00:03:57+00","12d96549-2ab8-408c-84f9-1fca65d54870","Star Trek: Starfleet Command: Volume II: Empires at War","Captain Hikaru Sulu of the U. S. S. Excelsior becomes embroiled in a series of conflicts involving the Klingons, the Romulans and the Interstellar Concordium in the Ensebaran Nebula.","1984-11-22",,,"7.2","film","false"
"2020-01-01 13:30:00+00","2020-01-04 19:10:41+00","d9731f91-80aa-4e0a-9120-511daa1e64af","Star Trek",,"2017-05-29",,,"7.9","film","false"
"2020-01-01 13:30:00+00","2020-05-24 03:12:39+00","da9fc188-2831-43e7-9af8-ad79ee19fe61","Star Wars Forces of Destiny: Volume 3","While organizing some of her things, Maz shares stories of bravery.","2013-10-16",,,"4.8","film","false"
"2020-01-01 13:30:00+00","2020-11-05 17:42:03+00","c43669ba-1590-410f-8f19-006827b96290","Star académie",,"1999-03-03",,,"4.2","film","false"
"2020-01-01 13:30:00+00","2020-06-23 03:16:48+00","36f4a027-833f-4c59-a226-2f955406ae3c","Phantasy Star Universe",,"2009-08-18",,,"7.6","film","false"
"2020-01-01 13:30:00+00","2020-09-29 22:30:05+00","2c139f86-e67f-4477-8851-24906c2f870b","All Star Mr & Mrs",,"1997-10-24",,,"4.7","film","false"
"2020-01-01 13:30:00+00","2020-07-21 04:46:38+00","168b737f-938f-4b84-9910-0a2f6698e19b","Star Wars: The Clone Wars Preview Special","Ashley Eckstein gives viewers the first behind the scenes look at the making of the Star Wars: The Clone Wars TV series, interviewing series supervising director Dave Filoni and supervising...","2011-11-15",,,"7.4","film","false"
"2020-01-01 13:30:00+00","2020-01-19 05:26:49+00","8e5c567b-37da-4683-8167-cbe9b7dd37f7","The Wormwood Star",,"2008-07-02",,,"6.5","film","false"
"2020-01-01 13:30:00+00","2020-01-28 17:02:48+00","63c5fdea-7513-4712-a99f-5ede93132e61","The Star Wars Show","All the latest Star Wars news straight out of the Star Wars HQ... Actually, straight out of a converted copy room in the Star Wars HQ. In this show you will experience the latest updates, celebrity guests, and much more.","1986-02-14",,,"8","film","false"
"2020-01-01 13:30:00+00","2020-08-06 09:02:19+00","0c8c3953-e56d-4507-a093-8f7f5e507112","Star Wars: The Old Republic - Rise of the Hutt Cartel","With the Sith emperor defeated, the republic & empire grow ever more desperate to win the conflict. All eyes turn on the planet Makeb, where a mysterious substance called isotope-5 has been discovered. This substance has the power to fuel a massive army for whoever wields it. Unfortunately for both sides, the hutt cartel has control of the planet, and will not give it up lightly...","2015-04-06",,,"8.1","film","false"
"2020-01-01 13:30:00+00","2020-01-04 16:44:44+00","a3928141-3062-4eea-bcec-110536bd3ed0","An All-Star Tribute to Joni Mitchell",,"2018-09-11",,,"8.4","film","false"
"2020-01-01 13:30:00+00","2020-06-19 21:13:19+00","89893d5e-0a0f-46b8-af62-bcbcabf8cebf","Phantasy Star Online Version 2",,"2011-09-10",,,"7.8","film","false"
"2020-01-01 13:30:00+00","2020-11-04 15:48:27+00","c3e95220-d49e-455c-ab92-1a865d002f61","Rock Star","ROCK STAR: Shot by famed cinematographer, Jim Fealy ('Chop Suey', 'Doom Generation') at fashion photographer Steven Klein's studio, ROCK STAR features Theo (of all-girl punk band Lunachicks) as Heaven Scent, an agorophobic rock star preparing for a big show at Madison Square Garden as a calvacade of transsexuals, punk rockers on motorbikes, rival musicians, and a bitchy dominatrix and her Russian muscle slave, drop by her loft. Including rockers Miss Guy (of Toilet Boys); Chloe Dzubilo and Gyda Gash (of Transsisters); Gina, Squid, and Chip (of Lunachicks); Jonny Cragg (of Spacehog); with actor Michael Cavadias ( 'Wonder Boys'), James Chinlund (CK1 and CK Jeans model / Set designer) and painter Walt Paper as the spirit of Klaus Nomi. It also features hair and make-up by Clyde Haygood, and styling by Victoria Bartlett.","1983-03-31",,,"5.7","film","false"
"2020-01-01 13:30:00+00","2020-05-19 09:53:47+00","a1f330bb-3b4a-4439-9c57-d7fe2b3a0fb3","Jimmy Kimmel Live's All-Star Salute to Jimmy Kimmel Live!","A Primetime Special in which Jimmy Kimmel interviews Jimmy Kimmel and shows clips from his years as a host and beyond.","2016-10-27",,,"7.5","film","false"
"2020-01-01 13:30:00+00","2020-03-25 16:41:45+00","43290125-41bc-4e2f-ae20-cd844bef7320","All-Star American Destiny Trek",,"2005-08-01",,,"4.6","film","false"
"2020-01-01 13:30:00+00","2020-08-31 05:21:44+00","eaa91a74-075e-40fc-937a-a299a50fd2a2","Starmania. Österreich sucht den neuen Star",,"2014-03-01",,,"2.1","film","false"
"2020-01-01 13:30:00+00","2020-10-18 19:37:20+00","5acb6d4a-ee65-49fd-80de-200d7c34d906","Star Trek: Aliens","A behind the scenes look at the aliens of the film.","2011-12-09",,,"6.8","film","false"
"2020-01-01 13:30:00+00","2020-12-06 14:27:49+00","5545b181-ca5a-4e85-8605-74eaecbe2bb3","Football's Next Star",,"1990-03-08",,,"8.3","film","false"
"2020-01-01 13:30:00+00","2020-01-23 18:46:16+00","b92affac-1681-4a38-897d-098beef09807","Special zu 'Star Trek XI'",,"1993-04-17",,,"7.5","film","false"
"2020-01-01 13:30:00+00","2020-03-04 17:02:26+00","538405c6-39e1-4e8c-89cf-0340d155059b","Star Warriors","A galactic criminal and a space patrol officer forms an unlikely duo as they try to discover a powerful (and valuable) weapon before an evil Alien commander does.","1987-02-04",,,"8","film","false"
"2020-01-01 13:30:00+00","2020-07-25 01:47:24+00","f4458148-0c19-4fc1-bc34-5dac91605e8e","2007 MLB All-Star Game",,"1992-10-26",,,"6.4","film","false"
"2020-01-01 13:30:00+00","2020-03-27 14:26:10+00","d4d4f148-fdf0-4de8-b877-da7c712c443f","Mega Star",,"2019-05-05",,,"5.5","film","false"
"2020-01-01 13:30:00+00","2020-04-06 00:56:42+00","5b4ffa31-2d4d-4997-a86d-0e86ea467c69","Star Camp",,"2001-01-04",,,"6.7","film","false"
"2020-01-01 13:30:00+00","2020-06-18 09:41:51+00","9338334b-3c99-4c49-94f8-1a9fa90fcc6b","The Falling Star",,"2003-10-12",,,"6.3","film","false"
"2020-01-01 13:30:00+00","2020-05-07 22:24:15+00","093032f7-d07d-4f47-bfde-c21c53b2a620","A Football Star Called Divine: Life and Work of Ademir da Guia",,"2002-02-12",,,"7.5","film","false"
"2020-01-01 13:30:00+00","2020-03-06 18:32:20+00","6c2daf73-021d-41e3-b493-318ee7e2542b","1983 MLB All-Star Game",,"2019-02-22",,,"6.5","film","false"
